"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"DOC","Physicians Realty Trust","REITs","Mid cap","Real Estate","$3,784,974,295","5.37%","USA","Analyze"
"AVNT","Avient Corporation","Common stocks","Mid cap","Materials","$3,755,781,764","2.24%","USA","Analyze"
"OLLI","Ollies Bargain Outlet Holdings Inc","Common stocks","Mid cap","Consumer Discretionary","$3,747,807,459","0.00%","USA","Analyze"
"SR","Spire Inc","Common stocks","Mid cap","Utilities","$3,747,048,927","3.71%","USA","Analyze"
"TPX","Tempur Sealy International Inc","Common stocks","Mid cap","Consumer Discretionary","$3,725,048,455","1.78%","USA","Analyze"
"FLS","Flowserve Corp","Common stocks","Mid cap","Industrials","$3,714,226,404","2.79%","USA","Analyze"
"YETI","Yeti Holdings, Inc.","Common stocks","Mid cap","Consumer Discretionary","$3,710,066,135","0.00%","USA","Analyze"
"MMS","Maximus Inc","Common stocks","Mid cap","Information Technology","$3,695,208,597","1.85%","USA","Analyze"
"R","Ryder System Inc","Common stocks","Mid cap","Industrials","$3,674,681,825","2.40%","USA","Analyze"
"TNDM","Tandem Diabetes Care Inc","Common stocks","Mid cap","Health Care","$3,672,740,071","0.00%","USA","Analyze"
"SITM","SiTime Corporation","Common stocks","Mid cap","Information Technology","$3,658,126,839","0.00%","USA","Analyze"
"MTG","MGIC Investment Corp","Common stocks","Mid cap","Financials","$3,619,238,215","2.71%","USA","Analyze"
"HELE","Helen Of Troy Ltd","Common stocks","Mid cap","Consumer Discretionary","$3,617,755,946","0.00%","USA","Analyze"
"KEX","Kirby Corp","Common stocks","Mid cap","Industrials","$3,590,865,000","0.00%","USA","Analyze"
"HBI","Hanesbrands Inc","Common stocks","Mid cap","Consumer Discretionary","$3,585,414,422","5.74%","USA","Analyze"
"NSP","Insperity Inc","Common stocks","Mid cap","Industrials","$3,564,173,901","1.99%","USA","Analyze"
"SMTC","Semtech Corp","Common stocks","Mid cap","Information Technology","$3,552,851,515","0.00%","USA","Analyze"
"UMPQ","Umpqua Holdings Corp","Common stocks","Mid cap","Financials","$3,550,879,235","5.05%","USA","Analyze"
"HIW","Highwoods Properties, Inc","REITs","Mid cap","Real Estate","$3,547,895,420","4.40%","USA","Analyze"
"CBT","Cabot Corp","Common stocks","Mid cap","Materials","$3,544,035,606","2.31%","USA","Analyze"
"FLR","Fluor Corp","Common stocks","Mid cap","Industrials","$3,526,078,603","0.00%","USA","Analyze"
"AMED","Amedisys Inc","Common stocks","Mid cap","Health Care","$3,498,972,324","0.00%","USA","Analyze"
"MSM","MSC Industrial Inc Class A","Common stocks","Mid cap","Industrials","$3,478,195,416","4.02%","USA","Analyze"
"CNX","CNX Resources Corporation","Common stocks","Mid cap","Energy","$3,452,455,464","0.00%","USA","Analyze"
"LANC","Lancaster Colony Corp","Common stocks","Mid cap","Consumer Staples","$3,446,304,840","2.49%","USA","Analyze"
"EPR","EPR Properties","REITs","Mid cap","Real Estate","$3,398,372,557","6.08%","USA","Analyze"
"ZD","Ziff Davis, Inc.","Common stocks","Mid cap","Communication Services","$3,384,691,453","0.00%","USA","Analyze"
"MRCY","Mercury Systems Inc","Common stocks","Mid cap","Industrials","$3,373,884,540","0.00%","USA","Analyze"
"NARI","Inari Medical, Inc.","Common stocks","Mid cap","Health Care","$3,365,496,244","0.00%","USA","Analyze"
"TNL","Travel & Leisure Co.","Common stocks","Mid cap","Consumer Discretionary","$3,358,556,294","3.65%","USA","Analyze"
"GATX","Gatx Corp","Common stocks","Mid cap","Industrials","$3,352,096,000","2.15%","USA","Analyze"
"PK","Park Hotels & Resorts Inc","REITs","Mid cap","Real Estate","$3,323,189,939","0.07%","USA","Analyze"
"WTS","Watts Water Technologies Inc Class A","Common stocks","Mid cap","Industrials","$3,307,265,105","0.89%","USA","Analyze"
"GPS","Gap Inc","Common stocks","Mid cap","Consumer Discretionary","$3,245,478,536","5.71%","USA","Analyze"
"ARWR","Arrowhead Pharmaceuticals Inc","Common stocks","Mid cap","Health Care","$3,234,470,358","0.00%","USA","Analyze"
"SBRA","Sabra Health Care REIT, Inc","REITs","Mid cap","Real Estate","$3,194,104,566","8.39%","USA","Analyze"
"LIVN","Livanova PLC","Common stocks","Mid cap","Health Care","$3,187,732,685","0.00%","USA","Analyze"
"GT","Goodyear Tire & Rubber","Common stocks","Mid cap","Consumer Discretionary","$3,186,209,509","0.00%","USA","Analyze"
"FCFS","Firstcash Inc","Common stocks","Mid cap","Financials","$3,181,061,206","0.89%","USA","Analyze"
"BRBR","BellRing Brands, Inc. Class A","Common stocks","Mid cap","Consumer Staples","$3,174,508,082","0.00%","USA","Analyze"
"FOXF","Fox Factory Holding Corp","Common stocks","Mid cap","Consumer Discretionary","$3,171,692,234","0.00%","USA","Analyze"
"PCH","PotlatchDeltic Corporation","REITs","Mid cap","Real Estate","$3,159,908,447","3.63%","USA","Analyze"
"HAE","Haemonetics Corp","Common stocks","Mid cap","Health Care","$3,126,697,455","0.00%","USA","Analyze"
"BHF","Brighthouse Financial","Common stocks","Mid cap","Financials","$3,123,075,171","0.00%","USA","Analyze"
"PACW","Pacwest Bancorp","Common stocks","Mid cap","Financials","$3,119,395,507","3.73%","USA","Analyze"
"SXT","Sensient Technologies Corp","Common stocks","Mid cap","Materials","$3,116,729,228","2.17%","USA","Analyze"
"SLG","SL Green Realty Corp","REITs","Mid cap","Real Estate","$3,095,282,326","7.48%","USA","Analyze"
"SAM","Boston Beer Inc Class A","Common stocks","Mid cap","Consumer Staples","$3,087,875,457","0.00%","USA","Analyze"
"ALE","Allete Inc","Common stocks","Mid cap","Utilities","$3,047,131,522","4.41%","USA","Analyze"
"STAA","Staar Surgical","Common stocks","Mid cap","Health Care","$3,038,883,940","0.00%","USA","Analyze"
"ENOV","Enovis Corporation","Common stocks","Mid cap","Health Care","$3,017,084,339","0.00%","USA","Analyze"
"SPWR","Sunpower Corp","Common stocks","Mid cap","Information Technology","$3,006,082,175","0.00%","USA","Analyze"
"NEU","Newmarket Corp","Common stocks","Mid cap","Materials","$2,992,014,694","2.85%","USA","Analyze"
"CROX","Crocs Inc","Common stocks","Mid cap","Consumer Discretionary","$2,983,934,919","0.00%","USA","Analyze"
"BOH","Bank Of Hawaii Corp.","Common stocks","Mid cap","Financials","$2,983,773,494","3.73%","USA","Analyze"
"OFC","Corporate Office Properties Trust","REITs","Mid cap","Real Estate","$2,978,993,499","4.09%","USA","Analyze"
"JBGS","JBG Smith Properties","REITs","Mid cap","Real Estate","$2,975,038,417","3.69%","USA","Analyze"
"NWE","Northwestern Corp","Common stocks","Mid cap","Utilities","$2,973,847,140","4.48%","USA","Analyze"
"BLKB","Blackbaud Inc","Common stocks","Mid cap","Information Technology","$2,946,809,996","0.00%","USA","Analyze"
"PZZA","Papa Johns International Inc","Common stocks","Mid cap","Consumer Discretionary","$2,934,824,343","1.70%","USA","Analyze"
"CATY","Cathay General Bancorp","Common stocks","Mid cap","Financials","$2,932,322,994","3.37%","USA","Analyze"
"ACIW","ACI Worldwide Inc","Common stocks","Mid cap","Information Technology","$2,927,057,357","0.00%","USA","Analyze"
"ETRN","Equitrans Midstream Corporation","Common stocks","Mid cap","Energy","$2,925,477,880","8.64%","USA","Analyze"
"ADNT","Adient PLC","Common stocks","Mid cap","Consumer Discretionary","$2,924,931,011","0.00%","USA","Analyze"
"ENV","Envestnet Inc","Common stocks","Mid cap","Information Technology","$2,914,993,503","0.00%","USA","Analyze"
"GEF","Greif Inc Class A","Common stocks","Mid cap","Materials","$2,912,155,431","3.05%","USA","Analyze"
"CRI","Carters Inc","Common stocks","Mid cap","Consumer Discretionary","$2,880,823,064","3.49%","USA","Analyze"
"LOPE","Grand Canyon Education Inc","Common stocks","Mid cap","Consumer Discretionary","$2,862,524,830","0.00%","USA","Analyze"
"SFM","Sprouts Farmers Market Inc","Common stocks","Mid cap","Consumer Staples","$2,846,904,791","0.00%","USA","Analyze"
"VC","Visteon Corp","Common stocks","Mid cap","Consumer Discretionary","$2,843,452,533","0.00%","USA","Analyze"
"KMPR","Kemper Corp","Common stocks","Mid cap","Financials","$2,823,181,462","2.78%","USA","Analyze"
"ASB","Associated Bancorp","Common stocks","Mid cap","Financials","$2,777,311,941","4.30%","USA","Analyze"
"FL","Foot Locker Inc","Common stocks","Mid cap","Consumer Discretionary","$2,766,315,574","4.05%","USA","Analyze"
"FHI","Federated Hermes, Inc.","Common stocks","Mid cap","Financials","$2,760,976,968","3.54%","USA","Analyze"
"PDCO","Patterson Companies Inc","Common stocks","Mid cap","Health Care","$2,743,178,200","3.66%","USA","Analyze"
"CVLT","Commvault Systems Inc","Common stocks","Mid cap","Information Technology","$2,725,220,754","0.00%","USA","Analyze"
"JBLU","Jetblue Airways Corp","Common stocks","Mid cap","Industrials","$2,694,627,835","0.00%","USA","Analyze"
"VSCO","Victorias Secret & Co.","Common stocks","Mid cap","Consumer Discretionary","$2,690,925,798","0.00%","USA","Analyze"
"BCO","Brinks","Common stocks","Mid cap","Industrials","$2,689,252,690","1.39%","USA","Analyze"
"TCBI","Texas Capital Bancshares Inc","Common stocks","Mid cap","Financials","$2,655,361,195","0.00%","USA","Analyze"
"WWE","World Wrestling Entertainment Inc","Common stocks","Mid cap","Communication Services","$2,638,879,890","0.78%","USA","Analyze"
"DY","Dycom Industries Inc","Common stocks","Mid cap","Industrials","$2,626,579,182","0.00%","USA","Analyze"
"ESAB","ESAB Corporation","Common stocks","Mid cap","Industrials","$2,621,698,361","0.42%","USA","Analyze"
"WLY","John Wiley & Sons, Inc. Class A","Common stocks","Mid cap","Communication Services","$2,591,791,166","2.97%","USA","Analyze"
"IBOC","International Bancshares Corp","Common stocks","Mid cap","Financials","$2,554,051,035","2.95%","USA","Analyze"
"NUVA","Nuvasive Inc","Common stocks","Mid cap","Health Care","$2,508,377,646","0.00%","USA","Analyze"
"TMHC","Taylor Morrison Home Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$2,488,489,765","0.00%","USA","Analyze"
"NEOG","Neogen Corp","Common stocks","Mid cap","Health Care","$2,473,348,567","0.00%","USA","Analyze"
"XRX","Xerox Corp","Common stocks","Mid cap","Information Technology","$2,471,604,798","4.65%","USA","Analyze"
"PGNY","Progyny, Inc.","Common stocks","Mid cap","Health Care","$2,454,909,740","0.00%","USA","Analyze"
"MCY","Mercury General Corp","Common stocks","Mid cap","Financials","$2,449,618,658","5.63%","USA","Analyze"
"WERN","Werner Enterprises Inc","Common stocks","Mid cap","Industrials","$2,440,967,268","1.27%","USA","Analyze"
"CADE","Cadence Bancorporation","Common stocks","Mid cap","Financials","$2,436,819,150","3.52%","USA","Analyze"
"NGVT","Ingevity Corp","Common stocks","Mid cap","Materials","$2,425,006,665","0.00%","USA","Analyze"
"ENS","Enersys","Common stocks","Mid cap","Industrials","$2,407,853,913","1.18%","USA","Analyze"
"TRIP","TripAdvisor Inc","Common stocks","Mid cap","Communication Services","$2,381,668,651","0.00%","USA","Analyze"
"VSH","Vishay Intertechnology Inc","Common stocks","Mid cap","Information Technology","$2,374,667,226","2.18%","USA","Analyze"
"FULT","Fulton Financial Corp","Common stocks","Mid cap","Financials","$2,338,999,975","3.86%","USA","Analyze"
"VSAT","Viasat Inc","Common stocks","Mid cap","Information Technology","$2,313,503,172","0.00%","USA","Analyze"
"PEB","Pebblebrook Hotel Trust","REITs","Mid cap","Real Estate","$2,299,962,559","0.23%","USA","Analyze"
"HPP","Hudson Pacific Properties, Inc","REITs","Mid cap","Real Estate","$2,289,406,547","6.20%","USA","Analyze"
"KBH","KB Home","Common stocks","Mid cap","Consumer Discretionary","$2,269,612,724","2.33%","USA","Analyze"
"WING","Wingstop Inc","Common stocks","Mid cap","Consumer Discretionary","$2,254,803,605","0.65%","USA","Analyze"
"NUS","Nu Skin Enterprises Inc","Common stocks","Mid cap","Consumer Staples","$2,229,245,323","3.40%","USA","Analyze"
"CALX","Calix Networks Inc","Common stocks","Mid cap","Information Technology","$2,217,478,246","0.00%","USA","Analyze"
"BDC","Belden Inc","Common stocks","Mid cap","Information Technology","$2,199,531,898","0.40%","USA","Analyze"
"BFH","Bread Financial Holdings, Inc.","Common stocks","Mid cap","Information Technology","$2,155,786,477","1.85%","USA","Analyze"
"GHC","Graham Holdings Company Class B","Common stocks","Mid cap","Consumer Discretionary","$2,131,700,011","1.13%","USA","Analyze"
"HAIN","Hain Celestial Group Inc","Common stocks","Mid cap","Consumer Staples","$2,111,138,355","0.00%","USA","Analyze"
"KD","Kyndryl Holdings, Inc.","Common stocks","Mid cap","Information Technology","$2,065,802,739","0.00%","USA","Analyze"
"CNO","CNO Financial Group Inc","Common stocks","Mid cap","Financials","$2,065,140,341","2.95%","USA","Analyze"
"WOR","Worthington Industries Inc","Common stocks","Mid cap","Materials","$2,053,381,079","2.71%","USA","Analyze"
"DAN","Dana Incorporated Inc","Common stocks","Mid cap","Consumer Discretionary","$2,036,779,991","2.79%","USA","Analyze"
"MLKN","MillerKnoll, Inc.","Common stocks","Mid cap","Industrials","$2,029,730,381","2.79%","USA","Analyze"
"YELP","Yelp Inc","Common stocks","Mid cap","Communication Services","$2,025,865,357","0.00%","USA","Analyze"
"TRN","Trinity Industries Inc","Common stocks","Small cap","Industrials","$1,993,543,702","3.64%","USA","Analyze"
"AEO","American Eagle Outfitters Inc","Common stocks","Small cap","Consumer Discretionary","$1,992,167,814","6.05%","USA","Analyze"
"WAFD","Washington Federal Inc","Common stocks","Small cap","Financials","$1,983,395,396","2.29%","USA","Analyze"
"NAVI","Navient Corp","Common stocks","Small cap","Financials","$1,983,211,484","4.70%","USA","Analyze"
"TEX","Terex Corp","Common stocks","Small cap","Industrials","$1,971,585,000","1.75%","USA","Analyze"
"SABR","Sabre Corp","Common stocks","Small cap","Information Technology","$1,961,607,560","0.00%","USA","Analyze"
"KMT","Kennametal Inc","Common stocks","Small cap","Industrials","$1,942,002,847","3.37%","USA","Analyze"
"MTX","Minerals Technologies Inc","Common stocks","Small cap","Materials","$1,940,698,883","0.34%","USA","Analyze"
"MAC","Macerich Company","REITs","Small cap","Real Estate","$1,918,928,446","6.71%","USA","Analyze"
"CBRL","Cracker Barrel Old Country Store","Common stocks","Small cap","Consumer Discretionary","$1,898,973,788","5.79%","USA","Analyze"
"RAMP","Liveramp Holdings Inc","Common stocks","Small cap","Information Technology","$1,884,708,008","0.00%","USA","Analyze"
"ENR","Energizer Holdings Inc","Common stocks","Small cap","Consumer Staples","$1,871,031,933","4.51%","USA","Analyze"
"URBN","Urban Outfitters Inc","Common stocks","Small cap","Consumer Discretionary","$1,853,293,900","0.00%","USA","Analyze"
"VICR","Vicor Corp","Common stocks","Small cap","Industrials","$1,828,135,616","0.00%","USA","Analyze"
"SIX","Six Flags Entertainment Corp","Common stocks","Small cap","Consumer Discretionary","$1,823,947,996","0.00%","USA","Analyze"
"APPS","Digital Turbine Inc","Common stocks","Small cap","Information Technology","$1,516,252,942","0.00%","USA","Analyze"
