"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"KRC","Kilroy Realty Corporation","REITs","Mid cap","Real Estate","$5,974,696,135","3.98%","USA","Analyze"
"GTLS","Chart Industries Inc","Common stocks","Mid cap","Industrials","$5,940,407,054","0.00%","USA","Analyze"
"BRX","Brixmor Property Group Inc","REITs","Mid cap","Real Estate","$5,894,833,391","4.56%","USA","Analyze"
"NVST","Envista Holdings Corporation","Common stocks","Mid cap","Health Care","$5,859,110,579","0.00%","USA","Analyze"
"SAIL","Sailpoint Technologies Holding","Common stocks","Mid cap","Information Technology","$5,841,487,784","0.00%","USA","Analyze"
"FCN","FTI Consulting Inc","Common stocks","Mid cap","Industrials","$5,826,473,397","0.00%","USA","Analyze"
"HQY","Healthequity Inc","Common stocks","Mid cap","Health Care","$5,822,212,424","0.00%","USA","Analyze"
"TREX","Trex Inc","Common stocks","Mid cap","Industrials","$5,816,176,643","0.00%","USA","Analyze"
"DCI","Donaldson Inc","Common stocks","Mid cap","Industrials","$5,775,913,125","1.88%","USA","Analyze"
"WWD","Woodward Inc","Common stocks","Mid cap","Industrials","$5,752,626,184","0.77%","USA","Analyze"
"MKSI","MKS Instruments Inc","Common stocks","Mid cap","Information Technology","$5,728,463,698","0.85%","USA","Analyze"
"INGR","Ingredion Inc","Common stocks","Mid cap","Consumer Staples","$5,696,208,272","2.98%","USA","Analyze"
"IBKR","Interactive Brokers Group Inc","Common stocks","Mid cap","Financials","$5,673,667,512","0.69%","USA","Analyze"
"SWX","Southwest Gas Holdings Inc","Common stocks","Mid cap","Utilities","$5,649,666,746","2.81%","USA","Analyze"
"IIVI","Ii Vi Inc","Common stocks","Mid cap","Information Technology","$5,626,229,566","0.00%","USA","Analyze"
"THC","Tenet Healthcare Corp","Common stocks","Mid cap","Health Care","$5,617,728,479","0.00%","USA","Analyze"
"RCM","R1 RCM Inc.","Common stocks","Mid cap","Health Care","$5,602,488,726","0.00%","USA","Analyze"
"MTZ","Mastec Inc","Common stocks","Mid cap","Industrials","$5,589,263,923","0.00%","USA","Analyze"
"BYD","Boyd Gaming Corp","Common stocks","Mid cap","Consumer Discretionary","$5,570,139,979","0.30%","USA","Analyze"
"ITT","ITT Inc","Common stocks","Mid cap","Industrials","$5,548,575,000","1.45%","USA","Analyze"
"GMED","Globus Medical Inc Class A","Common stocks","Mid cap","Health Care","$5,533,209,864","0.00%","USA","Analyze"
"FFIN","First Financial Bankshares Inc","Common stocks","Mid cap","Financials","$5,511,814,114","1.60%","USA","Analyze"
"OSK","Oshkosh Corp","Common stocks","Mid cap","Industrials","$5,456,372,964","1.73%","USA","Analyze"
"PNFP","Pinnacle Financial Partners Inc","Common stocks","Mid cap","Financials","$5,437,878,548","1.12%","USA","Analyze"
"KSS","Kohls Corporation","Common stocks","Mid cap","Consumer Discretionary","$5,437,774,448","3.50%","USA","Analyze"
"MUSA","Murphy USA Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,436,645,402","0.51%","USA","Analyze"
"LITE","Lumentum Holdings Inc","Common stocks","Mid cap","Information Technology","$5,428,230,000","0.00%","USA","Analyze"
"RYN","Rayonier Inc","REITs","Mid cap","Real Estate","$5,398,201,589","2.94%","USA","Analyze"
"HRB","H&R Block Inc","Common stocks","Mid cap","Consumer Discretionary","$5,389,494,749","3.92%","USA","Analyze"
"EHC","Encompass Health Corp","Common stocks","Mid cap","Health Care","$5,387,346,993","2.06%","USA","Analyze"
"M","Macys Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,375,774,903","3.05%","USA","Analyze"
"AYI","Acuity Brands Inc","Common stocks","Mid cap","Industrials","$5,367,920,459","0.33%","USA","Analyze"
"FAF","First American Financial Corp","Common stocks","Mid cap","Financials","$5,365,965,141","4.04%","USA","Analyze"
"MDU","MDU Resources Group Inc","Common stocks","Mid cap","Industrials","$5,360,325,506","3.24%","USA","Analyze"
"VLY","Valley National","Common stocks","Mid cap","Financials","$5,351,648,649","4.11%","USA","Analyze"
"XPO","XPO Logistics Inc","Common stocks","Mid cap","Industrials","$5,350,658,247","0.00%","USA","Analyze"
"AZTA","Azenta, Inc.","Common stocks","Mid cap","Health Care","$5,350,448,383","0.28%","USA","Analyze"
"LSTR","Landstar System Inc","Common stocks","Mid cap","Industrials","$5,349,306,139","0.69%","USA","Analyze"
"MUR","Murphy Oil Corp","Common stocks","Mid cap","Energy","$5,310,619,574","1.67%","USA","Analyze"
"ASH","Ashland Global Inc","Common stocks","Mid cap","Materials","$5,303,462,815","1.27%","USA","Analyze"
"FLO","Flowers Foods Inc","Common stocks","Mid cap","Consumer Staples","$5,298,939,701","3.36%","USA","Analyze"
"PRGO","Perrigo Plc","Common stocks","Mid cap","Health Care","$5,276,746,614","2.52%","USA","Analyze"
"EEFT","Euronet Worldwide Inc","Common stocks","Mid cap","Information Technology","$5,242,339,395","0.00%","USA","Analyze"
"GBCI","Glacier Bancorp Inc","Common stocks","Mid cap","Financials","$5,219,167,450","2.69%","USA","Analyze"
"SNV","Synovus Financial Corp","Common stocks","Mid cap","Financials","$5,191,578,198","4.61%","USA","Analyze"
"NVT","Nvent Electric Plc","Common stocks","Mid cap","Industrials","$5,175,054,486","2.23%","USA","Analyze"
"BLD","Topbuild Corp","Common stocks","Mid cap","Consumer Discretionary","$5,147,441,573","0.00%","USA","Analyze"
"PSB","PS Business Parks, Inc","REITs","Mid cap","Real Estate","$5,138,704,398","2.23%","USA","Analyze"
"OLED","Universal Display Corp","Common stocks","Mid cap","Information Technology","$5,116,616,834","0.92%","USA","Analyze"
"VVV","Valvoline Inc","Common stocks","Mid cap","Materials","$5,108,927,142","1.74%","USA","Analyze"
"X","United States Steel Corporation","Common stocks","Mid cap","Materials","$5,108,445,236","0.81%","USA","Analyze"
"SLAB","Silicon Laboratories Inc","Common stocks","Mid cap","Information Technology","$5,104,820,497","0.00%","USA","Analyze"
